song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	1297043
2Sn1bb7wGN1ZQFMpgkb0Y6	Jente i Oslo	0	False	1	0	132280	['6CawoDDP1IZUSGl4wSJGC9', '24Lqq3mnesl7IljSVFEBEO']	['TIX', 'Hver gang vi møtes']	2	Collaboration	2021-12-25	6.0	1.0	4.0	0.498	0.612	0.482	0.0	0.0751	-5.482	0.0298	0.226	125.095	266692
7a53HqqArd4b9NF4XAmlbI	Kings & Queens	83	False	3	184	162398	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	1	Solo	2020-09-18	1.0	0.0	4.0	0.00786	0.637	0.69	0.0	0.124	-4.057	0.0405	0.457	129.857	2700177
2Xy1UIVfOlukyye6Fd0wrI	Follow Me	73	False	1	184	169672	['20gsENnposVs2I4rQ5kvrf', '5CCwRZC6euC8Odo6y9X8jr']	['Sam Feldt', 'Rita Ora']	2	Collaboration	2021-12-10	6.0	1.0	4.0	0.083	0.673	0.729	0.0	0.1	-4.879	0.0496	0.675	122.023	38336
19uCI0v5VhNfime4CXyQFO	All Things $ Can Do (with Travis Barker & Tove Styrke)	41	False	1	184	179736	['7DMveApC7UnC2NPfPvlHSU', '4exLIFE8sISLr28sqG1qNX', '2QSPrJfYeRXaltEEiriXN9']	['Cheat Codes', 'Travis Barker', 'Tove Styrke']	3	Collaboration	2021-08-13	8.0	1.0	4.0	0.0323	0.606	0.678	0.0852	0.108	-5.915	0.0334	0.189	150.066	15357
3svle4JD98qjX8WVADVEMA	Ett Minutt	50	False	1	184	174571	['5WDOXIkjKNjEzlXmLgZVz9']	['Synne Vo']	1	Solo	2021-01-08	7.0	1.0	4.0	0.9	0.653	0.194	0.0	0.0785	-12.232	0.0428	0.437	149.588	75613
0QnSotPQTUZ5xGB2SXLXip	Worldwide	26	True	1	184	159200	['3YP7MBWoSfkTwq0pOMj651']	['Den BB']	1	Solo	2021-02-19	11.0	0.0	4.0	0.127	0.592	0.902	1.86e-06	0.359	-6.479	0.183	0.479	149.983	14733
5UZA39t4lX42ApegVubl7f	Won’t Let You Go	57	False	1	184	217261	['60d24wfXkVzDSfLS6hyCjZ', '2QMCcKIPHnjQaPPgoEst88', '2auikkNYqigWStoHWK1Grq']	['Martin Garrix', 'Matisse & Sadko', 'John Martin']	3	Collaboration	2021-12-10	2.0	0.0	4.0	0.00623	0.46	0.843	0.0	0.16	-5.164	0.0616	0.276	125.982	23871
5QYnNhTKsN3kE7OaqILA1U	First Times	71	False	3	184	185853	['6eUKZXaKkcviH0Ku9w2n3V']	['Ed Sheeran']	1	Solo	2021-10-29	8.0	1.0	4.0	0.84	0.587	0.267	0.0	0.121	-9.206	0.0349	0.352	98.845	108510
4KDNRh9Oor80z3XIxdWlui	Bubbly (with Drake & Travis Scott)	72	True	12	184	165066	['50co4Is1HCEo8bhOyUWKpn', '3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'Drake', 'Travis Scott']	3	Collaboration	2021-10-15	11.0	0.0	4.0	0.0536	0.91	0.585	0.0	0.127	-7.572	0.257	0.599	129.011	96264
6Hfu9sc7jvv6coyy2LlzBF	Hurricane	75	False	5	184	243187	['5K4W6rqBFWDnAN6FQUkS6x']	['Kanye West']	1	Solo	2021-08-29	0.0	1.0	4.0	0.0466	0.587	0.561	0.0	0.109	-6.569	0.146	0.351	80.009	1067202
79wbJeLkXOlJh4AzaWCWfL	How Will I Know	72	False	1	184	213435	['6XpaIBNiVzIetEPCWDvAFP', '6MDME20pz9RveH9rEXvrOM']	['Whitney Houston', 'Clean Bandit']	2	Collaboration	2021-09-24	6.0	1.0	4.0	0.178	0.761	0.739	3.35e-06	0.23	-3.591	0.0369	0.656	118.997	59990
0exZ0YogJPbjGzblpcZaw7	September	62	False	1	184	220891	['4IWBUUAFIplrNtaOHcJPRM']	['James Arthur']	1	Solo	2021-06-11	9.0	1.0	4.0	0.147	0.641	0.551	0.0	0.12	-6.165	0.0532	0.417	102.912	95979
7CFfqRW50ffULvBv7lfIIg	Violent	70	False	1	184	135877	['2hiq2iBnUik3mrOfEgRSpB']	['carolesdaughter']	1	Solo	2020-11-23	2.0	1.0	4.0	0.331	0.797	0.755	2.26e-06	0.124	-5.393	0.0293	0.411	129.955	152828
