song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
7KxhSJOYiqCDclXDBNlFSZ	Kill Em With Kindness	68	False	2	165	217906	['0C8ZW7ezQVs4URX5aX7Kqx']	['Selena Gomez']	1	Solo	2015-10-09	10.0	0.0	4.0	0.00795	0.757	0.884	5.87e-05	0.0973	-5.488	0.0404	0.398	120.012	1749079
1rKqsfuQVUFhROVwcoGJGY	Small Doses	54	False	3	170	197626	['64M6ah0SkkRsnPGtGiRAbb']	['Bebe Rexha']	1	Solo	2017-02-16	4.0	0.0	4.0	0.134	0.474	0.565	0.0	0.0761	-5.238	0.0309	0.275	101.896	11393
6LFIwJgrt9BtCIRDot9CSQ	Il tempo intorno	25	False	8	184	193973	['1DyU8JVejfDzqXo9x2mFfQ']	['RIKI']	1	Solo	2017-10-20	5.0	1.0	4.0	0.347	0.518	0.665	0.0	0.134	-5.232	0.0393	0.262	83.125	20678
6t2ubAB4iSYOuIpRAOGd4t	Cake - Challenge Version	58	False	5	184	157164	['0jnsk9HBra6NMjO2oANoPY', '3hPPNy5OBzCU1icQO7Nrok']	['Flo Rida', '99 Percent']	2	Collaboration	2016-12-16	2.0	1.0	4.0	0.0729	0.786	0.854	1.63e-06	0.179	-4.247	0.0523	0.687	105.078	74915
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	5007792
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	650259
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	32325
2FBUoWkIuQXwayw2RNo5l6	Hotline Bling	0	False	20	0	267066	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2016-05-06	2.0	1.0	4.0	0.00347	0.903	0.62	0.000119	0.0504	-8.094	0.0587	0.539	134.96	5894
6y2156aAkRDasIQQBFzuac	Turbo	18	False	1	184	241560	['09LxneoTmRpuN3Jp8Ut4EX']	['Cosmo']	1	Solo	2017-11-24	10.0	0.0	4.0	0.0927	0.813	0.739	0.000248	0.0351	-4.249	0.0756	0.922	121.991	20188
5N8nNuTmIzkZOfcxXlygUw	Ginza	0	False	13	0	171093	['1vyhD5VmyZ7KMfW5gqLgo5']	['J Balvin']	1	Solo	2016-06-24	5.0	0.0	4.0	0.187	0.763	0.812	0.000848	0.0752	-6.469	0.0792	0.828	101.95	84506
