song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
3gxNkvcP8scSzL6mGznTn3	Awake	66	False	9	183	226160	['3Nrfpe0tUJi4K4DXYWgMUX']	['BTS']	1	Solo	2016-10-10	3.0	1.0	4.0	0.023	0.35	0.498	1.99e-06	0.269	-6.589	0.0332	0.34	142.803	26001
0cxyNMJpgb3LsAk5XdBuqd	JUST	30	False	1	184	166313	['2ZT3bnHPOdErwCLdP5aHqR']	['C JAMM']	1	Solo	2022-03-03	3.0	0.0	4.0	0.488	0.793	0.707	1.39e-06	0.399	-4.324	0.126	0.497	137.074	27603
4NgBGkkjK006wySQL4IaBA	UP (Feat. Jay Park, Woo) (Prod. CODE KUNST)	36	False	3	184	275400	['0seDu6vvqbUnPUk6s6a616', '4XDi67ZENZcbfKnvMnTYsI', '5a8EJtOEbUJDF4RX3mKK02']	['SINCE', 'Jay Park', 'Woo']	3	Collaboration	2021-12-04	11.0	0.0	4.0	0.357	0.891	0.859	0.0	0.169	-3.555	0.141	0.715	119.984	1307
0pYacDCZuRhcrwGUA5nTBe	eight(Prod.&Feat. SUGA of BTS)	75	False	1	184	167573	['3HqSLMAZ3g3d5poNaI7GOU', '0ebNdVaOfp6N0oZ1guIxM8']	['IU', 'SUGA']	2	Collaboration	2020-05-06	1.0	1.0	4.0	0.115	0.676	0.869	0.0	0.132	-1.573	0.0423	0.594	120.029	168118
002wiS64p2qXaYYVAP7KOW	Set Myself On Fire	55	False	4	184	157986	['3qNVuliS40BLgXGxhdBdqu']	['TAEYEON']	1	Solo	2022-02-14	8.0	1.0	3.0	0.737	0.585	0.683	0.0	0.114	-3.827	0.0523	0.493	128.018	48580
2bZIDMpzVooosmPHn0tHnd	STEREOTYPE	70	False	1	184	191695	['01XYiBYaoMJcNhPokrg0l0']	['STAYC']	1	Solo	2021-09-06	6.0	1.0	4.0	0.313	0.605	0.805	0.0	0.659	-3.212	0.0641	0.738	148.298	158553
2b0RhgCNG1jIU8gc5HoGRM	No Love Again	53	False	10	184	194546	['3qNVuliS40BLgXGxhdBdqu']	['TAEYEON']	1	Solo	2022-02-14	6.0	1.0	4.0	0.256	0.696	0.788	5.63e-06	0.249	-2.8	0.0339	0.74	129.928	25321
0IuVhCflrQPMGRrOyoY5RW	she's all i wanna be	75	False	1	183	206772	['45dkTj5sMRSjrmBSBeiHym']	['Tate McRae']	1	Solo	2022-02-04	2.0	0.0	4.0	0.0134	0.614	0.644	7.07e-06	0.117	-5.372	0.0426	0.651	160.036	83288
2eLe81VDUQ5f0xFfc9cMWz	MERRY-GO-ROUND (Feat. Zion.T, Wonstein) (Prod. Slom)	54	False	1	184	249752	['23LskvW8ErKu8v1teU7xFZ', '5HenzRvMtSrgtvU16XAoby', '5o615XColiSVMPDWlslKSk']	['sokodomo', 'Zion.T', 'Wonstein']	3	Collaboration	2021-11-13	1.0	0.0	4.0	0.293	0.861	0.552	0.0	0.374	-6.712	0.0777	0.697	108.036	554316
135Lf4Q0CzlMNfOxbEUsLH	GHOST TOWN	78	False	1	183	193733	['22wbnEMDvgVIAGdFeek6ET']	['Benson Boone']	1	Solo	2021-10-15	0.0	1.0	3.0	0.389	0.391	0.335	0.0	0.102	-10.064	0.0763	0.116	174.185	36391
