song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
0k4d5YPDr1r7FX77VdqWez	You Right	84	True	8	184	186173	['5cj0lLjcoR7YOSnhnX0Po5', '1Xyo4u8uXC1ZmMpatF05PJ']	['Doja Cat', 'The Weeknd']	2	Collaboration	2021-06-25	8.0	1.0	4.0	0.0164	0.828	0.621	0.00233	0.0845	-6.414	0.0565	0.436	128.986	222478
4oUdKVvn9QpGfYOHfErtLz	בדיוק כמו הירח	0	False	5	0	230080	['4iWsyISSQEYGxdqBNVwqtA']	['Yuval Dayan']	1	Solo	2016-03-01	1.0	0.0	4.0	0.589	0.474	0.452	2.86e-05	0.1	-7.958	0.0304	0.254	143.709	285648
4KDNRh9Oor80z3XIxdWlui	Bubbly (with Drake & Travis Scott)	72	True	12	184	165066	['50co4Is1HCEo8bhOyUWKpn', '3TVXtAsR1Inumwj472S9r4', '0Y5tJX1MQlPlqiwlOH1tJY']	['Young Thug', 'Drake', 'Travis Scott']	3	Collaboration	2021-10-15	11.0	0.0	4.0	0.0536	0.91	0.585	0.0	0.127	-7.572	0.257	0.599	129.011	13975
3V1FEnWwoN0pt2n4F6JrNx	בין קודש לחול	50	False	1	184	198628	['398u4UqbG8yzv4H08Mc1Eq', '7CgBEyXbjOjFX3HiysHtXN']	['Amir Dadon', 'Shuli Rand']	2	Collaboration	2019-09-22	8.0	1.0	1.0	0.763	0.382	0.375	0.0	0.144	-8.051	0.0313	0.338	90.82	616757
6Hfu9sc7jvv6coyy2LlzBF	Hurricane	75	False	5	184	243187	['5K4W6rqBFWDnAN6FQUkS6x']	['Kanye West']	1	Solo	2021-08-29	0.0	1.0	4.0	0.0466	0.587	0.561	0.0	0.109	-6.569	0.146	0.351	80.009	65140
7LqUeDojg7eFCqwMSsbEzF	מזרח פרוע	40	False	8	184	268550	['17pbOSPIn3lmY0vHhOlKGL']	['Tuna']	1	Solo	2021-12-17	0.0	1.0	4.0	0.184	0.727	0.788	0.00026	0.144	-6.768	0.112	0.473	99.968	131209
4191RXFPa7Ge9XkA4cWlna	Lost Cause	73	True	7	184	212496	['6qqNVTkY8uBg9cP3Jd7DAH']	['Billie Eilish']	1	Solo	2021-07-30	10.0	0.0	4.0	0.702	0.526	0.334	0.00782	0.0586	-8.491	0.251	0.522	74.966	68478
2tUL6dZf1mywCj5WvCPZw6	No Friends In The Industry	75	True	12	184	204346	['3TVXtAsR1Inumwj472S9r4']	['Drake']	1	Solo	2021-09-03	1.0	1.0	4.0	0.0181	0.84	0.744	0.0	0.629	-4.751	0.113	0.171	83.737	41889
4O0LQKVT6hGmVGNwizmydg	10 Years	2	False	1	0	166000	['3Hb64DQZIhDCgyHKrzBXOL']	['Daði Freyr']	1	Solo	2021-03-13	2.0	0.0	4.0	0.0141	0.798	0.621	0.000148	0.0926	-6.916	0.0391	0.443	123.038	24864
4F5i9rkN4DBMysvhzzEHoh	פילטרים יפים	39	False	1	184	182578	['2eUKkTNZsIuZzV95DM0cbt', '6uQl3gu1AIXyvqCAxnc2q4']	['Eden Ben Zaken', 'Eden Hason']	2	Collaboration	2021-12-04	6.0	0.0	3.0	0.752	0.562	0.469	0.0	0.0835	-7.374	0.0316	0.302	127.257	345155
39R36zC5ysSRIrneGDGhYa	ממתק	36	False	1	184	142941	['2eUKkTNZsIuZzV95DM0cbt']	['Eden Ben Zaken']	1	Solo	2021-08-13	1.0	1.0	4.0	0.0579	0.912	0.417	0.00607	0.139	-10.869	0.271	0.181	102.037	1432841
3S8jK1mGzQi24ilFb45DAZ	Lonely (with benny blanco)	74	True	16	184	149189	['1uNFoZAHBGtllmzznpCI3s', '5CiGnKThu5ctn9pBxv7DGa']	['Justin Bieber', 'benny blanco']	2	Collaboration	2021-03-19	11.0	0.0	4.0	0.9	0.619	0.241	0.0	0.116	-7.102	0.046	0.0719	79.461	283400
2Ok0GZ6KFRbEKZXi2gQyCm	מלחמה ושלום	32	False	7	184	195750	['54jZWpivOTllo1afYNSx5U', '0DtZlRJO3t2PniCvBvu6Ny']	['Eyal Golan', 'Arik Sinai']	2	Collaboration	2021-03-21	2.0	1.0	4.0	0.743	0.603	0.366	1.75e-05	0.191	-9.997	0.0308	0.273	120.975	96869
6J2R4mMoDfb5NQMDuV0nWq	עשר אפס לך	47	False	1	184	212142	['2MOEM2cDGyOzUf7LrBFuIG']	['Adir Getz']	1	Solo	2019-08-12	7.0	0.0	4.0	0.752	0.625	0.498	0.0	0.0914	-5.894	0.0441	0.546	139.804	144694
