song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
5wZvVKUYvXjvUarvPCyqhk	Lumalapit	0	False	1	0	226947	['1YlibpAvhJBbMZMBwN1KGv']	['The Juans']	1	Solo	2018-06-22	2.0	1.0	4.0	0.0174	0.545	0.612	0.0148	0.129	-9.119	0.0274	0.553	92.039	439660
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	1548664
75ls0gurX68lUmMjE7QcsE	all the kids are depressed	75	True	1	179	169973	['3gIRvgZssIb9aiirIg0nI3']	['Jeremy Zucker']	1	Solo	2018-05-04	9.0	1.0	4.0	0.836	0.773	0.437	2.42e-05	0.544	-8.281	0.0963	0.707	103.861	1000141
652CegYwXhnFnVz3SgGzTO	Ilaw Sa Daan	55	False	1	184	242790	['4k9wp4ipHdA1bu1T4x1ZTG']	['IV Of Spades']	1	Solo	2016-10-07	5.0	1.0	4.0	0.0344	0.688	0.853	0.0	0.388	-6.678	0.0715	0.512	105.05	4032985
5hCJIUsAqjKFlvKrvCcUIb	Need You	72	True	1	175	354071	['3xbpJdoJDLAfYn3ZeLlukg', '2U5mF0PZqGu6glnz55yY0y', '117XFtbZPnCI1EYKjYZWJc', '3uWiJPiieoALNDN6Ak3jtd', '3PDFGpPl4ienSn5Vwisfrh', '5HFNP1mrnemxa4WQHesFyt', '4e52OjekZlQYZn9GqKJASY']	['Bosx1ne', 'John Roa', 'Skusta Clee', 'Emcee Rhenn', 'Flow G', 'Bullet-D', 'Kent Mnl']	7	Collaboration	2017-01-21	1.0	1.0	4.0	0.484	0.637	0.596	0.0	0.102	-6.864	0.127	0.291	74.635	2348559
0dPBlz8N0veeceejtuvpPz	ILYSB	0	False	7	0	211149	['49tQo2QULno7gxHutgccqF']	['LANY']	1	Solo	2017-06-30	5.0	1.0	4.0	0.492	0.629	0.623	0.0034	0.348	-6.954	0.0734	0.412	99.989	8078181
7wZUrN8oemZfsEd1CGkbXE	Bleeding Love	78	False	1	183	262466	['5lKZWd6HiSCLfnDGrq9RAm']	['Leona Lewis']	1	Solo	2007	5.0	1.0	4.0	0.188	0.638	0.656	0.0	0.146	-5.886	0.0357	0.225	104.036	1660781
1boXOL0ua7N2iCOUVI1p9F	Japanese Denim	80	True	2	170	270846	['20wkVLutqVOYrc0kxFs7rA']	['Daniel Caesar']	1	Solo	2016-10-21	3.0	1.0	3.0	0.0905	0.707	0.238	2.42e-06	0.0842	-8.818	0.0379	0.345	124.156	20149
5I8oEqbk2ZBmQfXCrZbUFb	Fallin' All In You	0	False	6	0	235746	['7n2wHs1TKAczGzO7Dd2rGr']	['Shawn Mendes']	1	Solo	2018-05-25	8.0	1.0	4.0	0.401	0.853	0.477	0.0	0.111	-6.697	0.0362	0.8	92.03	90501
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	822565
4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	67	True	3	179	267426	['5IcR3N7QB1j6KBL8eImZ8m', '17lzZA2AlOHwCwFALHttmp', '37Qsf5KCKljH7mL134xp4k']	['ScHoolboy Q', '2 Chainz', 'Saudi']	3	Collaboration	2018-02-09	2.0	1.0	4.0	0.0201	0.768	0.471	0.0	0.268	-8.406	0.259	0.405	131.023	67417
5Zlo5ZYjrr6DwQw1kBi5bA	moonchild	0	False	3	0	205833	['2auC28zjQyVTsiZKNgPRGs']	['RM']	1	Solo	2018-10-22	9.0	0.0	4.0	0.0254	0.504	0.869	0.0	0.0659	-5.576	0.213	0.19	157.992	27719
