song_id	song_name	popularity	explicit	track_number	num_available_markets	duration_ms	artist_id	artist_name	num_artists	song_type	release_date	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo	total_streams
33tNYw9oMtSkGe27NpgS64	WORKIN ME	53	True	1	179	169620	['0VRj0yCOv2FXJNP47XQnx5']	['Quavo']	1	Solo	2018-08-10	8.0	1.0	4.0	0.182	0.79	0.629	7.06e-06	0.338	-4.055	0.142	0.267	170.023	106498
4mHgYpuGHu99Mw69E83CP2	Taking A Walk	78	True	2	182	121680	['6Xgp2XMz1fhVYe7i6yNAax']	['Trippie Redd']	1	Solo	2018-08-10	0.0	0.0	4.0	0.68	0.767	0.538	0.0	0.192	-6.044	0.052	0.343	81.031	82453
3cYf24Pf7oqX9XOHHrWy38	Silence	64	True	5	184	127653	['2UwqpfQtNuhBwviIC0f2ie', '3QVolfxko2UyCOtexhVTli']	['Damso', 'Angèle']	2	Collaboration	2018-06-15	3.0	0.0	4.0	0.974	0.44	0.241	4.36e-06	0.14	-7.94	0.0374	0.265	56.542	188672
3a1lNhkSLSkpJE4MSHpDu9	Congratulations	85	True	12	184	220293	['246dkjvS1zLTtiykXe5h60', '0VRj0yCOv2FXJNP47XQnx5']	['Post Malone', 'Quavo']	2	Collaboration	2016-12-09	6.0	1.0	4.0	0.215	0.63	0.804	0.0	0.253	-4.183	0.0363	0.492	123.146	498694
70lnL3QaSOIIyMa2X9aVRL	Perro Fiel (feat. Nicky Jam)	73	False	6	184	195213	['0EmeFodog0BfCgMzAIvKQp', '1SupJlEpv7RS2tPNRaHViT']	['Shakira', 'Nicky Jam']	2	Collaboration	2017-05-26	1.0	1.0	4.0	0.187	0.75	0.76	0.0	0.0548	-4.836	0.198	0.893	183.817	68948
3nwG4L1J4a8MXq4R01Hilb	Inshallah (feat. Capital Bra)	0	True	9	0	173299	['3c96G4d2lUOxhomM2mby5S', '4WZGDpNwrC0vNQyl9QzF7d']	['Bushido', 'Capital Bra']	2	Collaboration	2018-09-28	9.0	0.0	4.0	0.101	0.54	0.759	0.0	0.125	-4.874	0.309	0.272	159.228	910686
6yr8GiTHWvFfi4o6Q5ebdT	'Till I Collapse	0	True	18	0	297893	['7dGJo4pcD2V6oG8kP0tJRR', '1Oa0bMld0A3u5OTYfMzp5h']	['Eminem', 'Nate Dogg']	2	Collaboration	2002-05-26	1.0	1.0	4.0	0.0748	0.551	0.851	0.0	0.0784	-3.277	0.197	0.1	171.411	596787
5al97HZnNQz1JNmYlHqiAa	40K	0	True	1	0	216842	['5pVRwX5ZQR7hfJ18w8ZYkl']	['Ufo361']	1	Solo	2018-08-10	7.0	0.0	4.0	0.106	0.746	0.587	2.99e-05	0.187	-8.172	0.17	0.203	134.992	104547
1AjebVX4K3KLY8Shz2gQ5A	Hello Dolly	25	False	1	184	222000	['5Sjj30aHCmKcM9SdVX7PBK', '4VuARVJiWGsH2msKTdsKdQ']	['GRiNGO', 'Veysel']	2	Collaboration	2018-12-14	1.0	1.0	4.0	0.0148	0.797	0.689	0.0	0.106	-4.798	0.0769	0.445	150.039	8138
4ZkM6R7P3vGJ3O4ezCGnpy	BlaBla	0	True	1	0	216717	['477D3WI5iTnEmCOe7QFU5G', '3ZuBEj9ppJe8GSdKaMTfMN']	['Azzi Memo', 'Nimo']	2	Collaboration	2018-09-07	6.0	1.0	4.0	0.0366	0.852	0.788	3.41e-06	0.0938	-6.369	0.248	0.524	111.975	211141
5I8oEqbk2ZBmQfXCrZbUFb	Fallin' All In You	0	False	6	0	235746	['7n2wHs1TKAczGzO7Dd2rGr']	['Shawn Mendes']	1	Solo	2018-05-25	8.0	1.0	4.0	0.401	0.853	0.477	0.0	0.111	-6.697	0.0362	0.8	92.03	37284
36oP6yNLfH89X1Lxzl1evG	VVS Outro	0	True	17	0	222255	['5pVRwX5ZQR7hfJ18w8ZYkl']	['Ufo361']	1	Solo	2018-08-17	4.0	0.0	4.0	0.168	0.833	0.373	0.000896	0.0895	-7.564	0.0759	0.101	129.975	5106
575NJxNUVDqwJGdzBrlLbv	Lost In Japan - Remix	63	False	1	184	201253	['7n2wHs1TKAczGzO7Dd2rGr', '2qxJFvFYMEDqd7ui6kSAcq']	['Shawn Mendes', 'Zedd']	2	Collaboration	2018-09-27	10.0	1.0	4.0	0.0911	0.706	0.855	0.0	0.347	-5.377	0.215	0.293	107.184	11358
4LmAnpjlhWTahvRkYR8xJa	X (with 2 Chainz & Saudi)	67	True	3	179	267426	['5IcR3N7QB1j6KBL8eImZ8m', '17lzZA2AlOHwCwFALHttmp', '37Qsf5KCKljH7mL134xp4k']	['ScHoolboy Q', '2 Chainz', 'Saudi']	3	Collaboration	2018-02-09	2.0	1.0	4.0	0.0201	0.768	0.471	0.0	0.268	-8.406	0.259	0.405	131.023	135549
1ukZkoeh0yaKM8SL41wMPg	Fuffi Packs	30	True	9	182	158746	['4VuARVJiWGsH2msKTdsKdQ']	['Veysel']	1	Solo	2018-11-30	7.0	1.0	4.0	0.0569	0.729	0.769	0.0	0.136	-5.26	0.325	0.389	171.928	5797
1O1JnuQFkhxSzTcQpu3PuU	HME	0	True	2	0	226106	['2JwyRtuXf2l6sTnSnGVIa1', '0MtvTMKUpY7AMNTJJcCCsf', '61fZH5SxVJDnFnocMMPwCF']	['Farid Bang', 'Musiye', 'Play69']	3	Collaboration	2018-11-23	1.0	1.0	4.0	0.251	0.684	0.566	0.0	0.602	-7.364	0.379	0.474	143.192	6237
7DNUchli0y2Msfv8XFKpO1	J'en veux	32	True	14	184	201320	['1q7T9rFQ2a2ukA1PU51fo3']	['Koba LaD']	1	Solo	2018-09-28	2.0	1.0	4.0	0.252	0.749	0.623	4.97e-06	0.17	-5.856	0.204	0.302	145.909	6963
2jey6aQoRNao7Ou9ftOXFC	she ready	52	True	7	182	185986	['6icQOAFXDZKsumw3YXyusw', '21WS9wngs9AqFckK7yYJPM']	['Lil Yachty', 'PnB Rock']	2	Collaboration	2018-03-09	0.0	1.0	4.0	0.0572	0.825	0.718	0.0	0.104	-3.482	0.0834	0.689	145.03	4612
46xkXPGjR9Ig9BcaTUNus3	Your Song	67	False	5	158	180160	['5CCwRZC6euC8Odo6y9X8jr']	['Rita Ora']	1	Solo	2018-11-23	1.0	1.0	4.0	0.133	0.853	0.571	0.0	0.0564	-5.845	0.0543	0.958	117.991	5231
5SBFZEipvLrddLiaDrZp2c	Rock Me Amadeus	41	False	1	184	189200	['3TqfPVt0HX8GCzNOOjDcum', '0hLd40hVpRDGENe4KGZLnW']	['Sun Diego', 'Falco']	2	Collaboration	2018-04-27	9.0	0.0	4.0	0.0641	0.594	0.637	0.0	0.0856	-5.634	0.0826	0.268	88.818	5110
